,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classify,param_fs,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_roc_auc_score,split1_test_roc_auc_score,split2_test_roc_auc_score,split3_test_roc_auc_score,split4_test_roc_auc_score,mean_test_roc_auc_score,std_test_roc_auc_score,rank_test_roc_auc_score,split0_test_n_features_in,split1_test_n_features_in,split2_test_n_features_in,split3_test_n_features_in,split4_test_n_features_in,mean_test_n_features_in,std_test_n_features_in,rank_test_n_features_in
0,0.22878365516662597,0.06585842998363797,0.10624470710754394,0.0035475594064144126,GaussianNB(),passthrough,"{'classify': GaussianNB(), 'fs': 'passthrough'}",0.9739813451153657,0.9937817051219113,0.990672557682867,0.993181694212622,0.9974363170239459,0.9898107238313424,0.008204800952881704,8,0.9693050193050192,0.991989689895722,0.9884731480952441,0.9906609181713532,0.9965243928054747,0.9873906336545627,0.009418417269070962,8,0.9645660840343498,0.9868225367343362,0.9824562188606144,0.9882766109270068,0.9955907487824502,0.9835424398677514,0.010388600633085297,8,0.9866701482903321,0.9992418000794407,0.9989218600638354,0.9996194559920587,0.9998177879287593,0.9968542104708853,0.005101377375114923,14,81.0,81.0,81.0,81.0,81.0,81.0,0.0,1
1,0.18411855697631835,0.003363445389254516,0.04667577743530273,0.0028032178682868684,GaussianNB(),GATransformer(model=GaussianNB()),"{'classify': GaussianNB(), 'fs': GATransformer(model=GaussianNB())}",0.9644902634593356,0.9998363606611029,0.999945453553701,0.9998363606611029,1.0,0.9928216876670486,0.014165853877699353,5,0.9607452966714906,0.9997842037116961,0.9999211977935382,0.9997638167217762,1.0,0.9920429029797002,0.015649046800515817,3,0.9498588510883806,0.9994913530010173,0.9999141336081058,0.9997424008243173,1.0,0.9898013477043641,0.019972004021043783,5,0.9860891422183229,1.0,0.9999684598468379,1.0,1.0,0.9972115204130322,0.005561202513281213,12,5.0,7.0,8.0,6.0,4.0,6.0,1.4142135623730951,21
2,0.180857515335083,0.006677870017013739,0.04666094779968262,0.0042288764238252365,GaussianNB(),GATransformer(model=LinearDiscriminantAnalysis()),"{'classify': GaussianNB(), 'fs': GATransformer(model=LinearDiscriminantAnalysis())}",0.9636720667648503,0.9983090601647303,1.0,0.9985817923962254,0.9969453990072547,0.9915016636666121,0.013948557692603055,7,0.9600575746671464,0.9977794386898015,1.0,0.9980995263474296,0.9960618846694796,0.9903996848747715,0.015222473740789102,7,0.9485708552099674,0.9952601304752747,1.0,0.9969611284146483,0.9939156888309432,0.9869415605861667,0.01929281047559402,7,0.9860891422183229,0.9999464348222725,1.0,0.9998580064644408,1.0,0.9971787167010072,0.005545030177529692,13,4.0,14.0,10.0,26.0,12.0,13.2,7.222188034107115,6
3,0.17709765434265137,0.0025465809512286133,0.047690725326538085,0.0025958356281365067,GaussianNB(),SelectFromModel(estimator=LinearDiscriminantAnalysis()),"{'classify': GaussianNB(), 'fs': SelectFromModel(estimator=LinearDiscriminantAnalysis())}",0.970108547428135,0.9979272350406371,0.9959635629738722,0.9997272677685048,0.9998363606611029,0.9927125947744504,0.011389977185185283,6,0.965677063760491,0.9973072562358277,0.994626873516507,0.9996406497053328,0.9997842037116961,0.991407209385971,0.013001390366250028,5,0.9587030894534845,0.9957133986646255,0.9921749745836571,0.9994567579313341,0.9996740547588004,0.9891444550783804,0.015467565218745115,6,0.9871763255240446,0.9999737048661091,0.9999640917569945,0.9999960602885094,0.9999921205770188,0.9974204606025353,0.005122080983204451,9,6.0,10.0,6.0,8.0,6.0,7.2,1.6,16
4,0.20798902511596679,0.0034548977423847055,0.12154078483581543,0.0034181780716436637,GaussianNB(),"SelectFromModel(estimator=RandomForestClassifier(max_depth=3, n_estimators=150))","{'classify': GaussianNB(), 'fs': SelectFromModel(estimator=RandomForestClassifier(max_depth=3, n_estimators=150))}",0.9710903834615174,1.0,0.9966726667757596,1.0,1.0,0.9935526100474554,0.011304803304669868,4,0.9665783831504603,1.0,0.9954637011189785,1.0,1.0,0.9924084168538878,0.013033969518559693,2,0.9602486845075804,1.0,0.9932069147693072,1.0,1.0,0.9906911198553775,0.015446921004488908,4,0.9871763255240446,1.0,0.9999719681844706,1.0,1.0,0.997429658741703,0.005126678104336865,8,10.0,9.0,11.0,9.0,9.0,9.6,0.7999999999999999,11
5,0.18125562667846679,0.0007575593345719904,0.0499171257019043,0.002118301015919453,GaussianNB(),"SelectFromModel(estimator=XGBClassifier(base_score=None, booster=None,
                                        callbacks=None, colsample_bylevel=None,
                                        colsample_bynode=None,
                                        colsample_bytree=None,
                                        early_stopping_rounds=None,
                                        enable_categorical=False,
                                        eval_metric='logloss',
                                        feature_types=None, gamma=None,
                                        gpu_id=None, grow_policy=None,
                                        importance_type=None,
                                        interaction_constraints=None,
                                        learning_rate=0.1, max_bin=None,
                                        max_cat_threshold=None,
                                        max_cat_to_onehot=None,
                                        max_delta_step=None, max_depth=3,
                                        max_leaves=None, min_child_weight=None,
                                        missing=nan, monotone_constraints=None,
                                        n_estimators=150, n_jobs=None,
                                        num_parallel_tree=None, predictor=None,
                                        random_state=None, ...))","{'classify': GaussianNB(), 'fs': SelectFromModel(estimator=XGBClassifier(base_score=None, booster=None,
                                        callbacks=None, colsample_bylevel=None,
                                        colsample_bynode=None,
                                        colsample_bytree=None,
                                        early_stopping_rounds=None,
                                        enable_categorical=False,
                                        eval_metric='logloss',
                                        feature_types=None, gamma=None,
                                        gpu_id=None, grow_policy=None,
                                        importance_type=None,
                                        interaction_constraints=None,
                                        learning_rate=0.1, max_bin=None,
                                        max_cat_threshold=None,
                                        max_cat_to_onehot=None,
                                        max_delta_step=None, max_depth=3,
                                        max_leaves=None, min_child_weight=None,
                                        missing=nan, monotone_constraints=None,
                                        n_estimators=150, n_jobs=None,
                                        num_parallel_tree=None, predictor=None,
                                        random_state=None, ...))}",0.9703267332133312,0.9997272677685048,1.0,0.9995090819833088,0.9997818142148039,0.9938689794359897,0.011772159397640775,3,0.9658763015932758,0.9996132434051169,1.0,0.999339813168552,0.9997053642288831,0.9929069444791656,0.013516965986482322,1,0.9590465550210614,0.9994869854327623,1.0,0.998885543479978,0.9994667318068388,0.9913771631481281,0.016169153663813114,3,0.9871763255240446,0.9999818208376413,1.0,0.9999543711490223,0.9999793020649655,0.9974183639151347,0.0051210398078979915,10,3.0,5.0,3.0,5.0,6.0,4.4,1.2,26
6,6.862382698059082,0.2631766589641096,0.11973004341125489,0.013319758981965043,RandomForestClassifier(),passthrough,"{'classify': RandomForestClassifier(), 'fs': 'passthrough'}",0.7849779086892489,1.0,1.0,0.9690721649484536,0.82457862870234,0.9157257404680085,0.09214438034112425,19,0.64296662449947,1.0,1.0,0.9608482991182733,0.8261856292793551,0.8860001105794197,0.13728601416948905,19,0.6272964881003866,1.0,1.0,0.9286772512353413,0.7565125999592008,0.8624972678589857,0.14747606553001236,19,0.9315105666397191,1.0,1.0,0.9945049704257614,0.9440902939053203,0.9740211661941602,0.029907838564731972,27,81.0,81.0,81.0,81.0,81.0,81.0,0.0,1
7,4.48579421043396,0.06185000132074558,0.12758374214172363,0.029396280972655453,RandomForestClassifier(),GATransformer(model=GaussianNB()),"{'classify': RandomForestClassifier(), 'fs': GATransformer(model=GaussianNB())}",0.732013309332897,1.0,1.0,0.9805814651175476,0.8329242349860907,0.909103801887307,0.1084413786061022,22,0.5798077867413398,1.0,1.0,0.9739489934451518,0.81496546281905,0.8737444486011083,0.1623426066566073,21,0.5457993109830676,1.0,1.0,0.9545813499152955,0.7555244014043851,0.8511810124605497,0.17742264947087327,21,0.945592676138477,1.0,1.0,0.99851965422583,0.9088662357299893,0.9705957132188592,0.03726835359354582,30,5.0,7.0,8.0,6.0,4.0,6.0,1.4142135623730951,21
8,4.792324829101562,0.22840130291167537,0.13004679679870607,0.025449982451042012,RandomForestClassifier(),GATransformer(model=LinearDiscriminantAnalysis()),"{'classify': RandomForestClassifier(), 'fs': GATransformer(model=LinearDiscriminantAnalysis())}",0.7430316914852997,1.0,1.0,0.9740358915616648,0.8328696885397916,0.9099874543173512,0.10404623550646648,21,0.5851379433042468,1.0,1.0,0.9665745628039577,0.8113619644713145,0.8726148941159038,0.15979816543389133,23,0.5707840045727403,1.0,1.0,0.9313716509152742,0.7542559485577606,0.851282320809155,0.1665782814945568,20,0.9014483979059755,1.0,1.0,0.9997774328351975,0.9561087903805898,0.9714669242243525,0.03890558835746502,29,4.0,14.0,10.0,26.0,12.0,13.2,7.222188034107115,6
9,4.547508287429809,0.025668214306956257,0.1462474822998047,0.0369454194159449,RandomForestClassifier(),SelectFromModel(estimator=LinearDiscriminantAnalysis()),"{'classify': RandomForestClassifier(), 'fs': SelectFromModel(estimator=LinearDiscriminantAnalysis())}",0.7162493863524791,1.0,1.0,0.974363170239459,0.8831615120274914,0.9147548137238859,0.10815653576272742,20,0.5623431482194304,1.0,1.0,0.9668452312103164,0.8500891640829641,0.8758555087025421,0.1661666294607906,20,0.5196082134528178,1.0,1.0,0.935302682806836,0.7694815008579897,0.8448784794235287,0.183186985973834,22,0.9633135989282061,1.0,1.0,0.9990188783339949,0.9810527962170317,0.9886770546958464,0.01459318815552722,18,6.0,10.0,6.0,8.0,6.0,7.2,1.6,16
