,precision,recall,f1-score
0,1.000,0.987,0.993
1,0.898,0.910,0.904
2,0.333,0.284,0.307
3,0.566,0.748,0.644
0,1.000,1.000,1.000
1,0.996,0.983,0.989
2,0.896,0.948,0.921
3,0.943,0.947,0.945
0,1.000,1.000,1.000
1,0.969,0.941,0.954
2,0.631,0.673,0.651
3,0.705,0.744,0.724
0,1.000,1.000,1.000
1,0.961,0.933,0.947
2,0.597,0.544,0.570
3,0.662,0.779,0.715
0,1.000,1.000,1.000
1,0.987,0.981,0.984
2,0.877,0.922,0.899
3,0.935,0.919,0.927
